Clause ,Title,"Clause
 Date",Acceptance Status*,Acceptance Criteria and Additional Notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,
252.225-7009,Restriction on Acquisition of Certain Articles Containing Specialty Metals,Jan 2023,REMOVE,"This clause is prescribed to be used in contracts that

 (i)  Exceed the simplified acquisition threshold; and
 
(ii)  Require delivery of any of the following items, or components of the following items, if such items or components contain specialty metal:

  (A)  Aircraft, (B)  Missile or space systems, (C)  Ships, (D)  Tank or automotive items, (E)  Weapon systems and (F)  Ammunition.


OSP Comments:  In the event this clause is determined to be applicable and is not removed, notify the PI of the requirements by providing a full text copy of the clause.


 ","Negotiation Position #1:
The research Virginia Tech conducts will not fall under the requirements of this clause. 

This clause is prescribed at DFARS 225-7003-5(a)(2) to be used in contracts that required the delivery of  (A)  Aircraft, (B)  Missile or space systems, (C)  Ships, (D)  Tank or automotive items, (E)  Weapon systems and (F)  Ammunition.  Since Virginia Tech will not be delivering such items, it is understood that this clause does not apply.  It is respectfully requested for this clause to be removed for clarity. Thank you. 

",Not required in clause or prescription,"03/19/23 CDC
03/28/21 CDC
05/05/14 CDC","Yes, if it applies",No,225.7003-5(a)(2),
OLD,Restriction on Acquisition of Certain Articles Containing Specialty Metals,Jun 2013,REMOVE,"This clause is prescribed to be used in contracts that

 (i)  Exceed the simplified acquisition threshold; and
 
(ii)  Require delivery of any of the following items, or components of the following items, if such items or components contain specialty metal:

  (A)  Aircraft, (B)  Missile or space systems, (C)  Ships, (D)  Tank or automotive items, (E)  Weapon systems and (F)  Ammunition.


OSP Comments:  In the event this clause is determined to be applicable and is not removed, notify the PI of the requirements by providing a full text copy of the clause.


 ","Negotiation Position #1:
The research Virginia Tech conducts will not fall under the requirements of this clause. 

This clause is prescribed at DFARS 225-7003-5(a)(2) to be used in contracts that required the delivery of  (A)  Aircraft, (B)  Missile or space systems, (C)  Ships, (D)  Tank or automotive items, (E)  Weapon systems and (F)  Ammunition.  Since Virginia Tech will not be delivering such items, it is understood that this clause does not apply.  It is respectfully requested for this clause to be removed for clarity. Thank you. 

",Not required in clause or prescription,"03/19/23 CDC
03/28/21 CDC
05/05/14 CDC","Yes, if it applies",No,225.7003-5(a)(2),
252.225-7010,Commercial Derivative Military Article - Specialty Metals Compliance Certificate,Jul 2009,REMOVE,"This clause is prescribed to be used in contracts that:

(1)  That contain the clause at DFARS 252.225-7009, Restriction on Acquisition of Certain Articles Containing Specialty Metals,; and

(2)  For which the contracting officer anticipates that one or more offers of commercial derivative military articles may be received. 


OSP Comments:  In the event this clause is determined to be applicable and is not removed, notify the PI of the requirements by providing a full text copy of the clause.","Negotiation Position #1:


This clause is prescribed at DFARS 225-7003-5(b) to be used when DFARS 252.225-7009, Restriction on Acquisition of Certain Articles Containing Specialty Metals, is included.  DFARS 252.225-7009, Restriction on Acquisition of Certain Articles Containing Specialty Metals is to be used in contracts that required the delivery of  (A)  Aircraft, (B)  Missile or space systems, (C)  Ships, (D)  Tank or automotive items, (E)  Weapon systems and (F)  Ammunition.  Since Virginia Tech will not be delivering such items, it is understood that DFARS 252.225-7010 also does not apply.  It is respectfully requested for this clause to be removed for clarity. Thank you. ",Not required in clause or prescription,"03/19/23 CDC
03/28/21 CDC","Yes, if it applies",No,225.7003-5(b),
252.225-7011,Restriction on Acquisition of Supercomputers,Jun 2005,C,Only applies to contracts for the purchase of supercomputers.  ,,Not required in clause or prescription.  ,"03/19/23 CDC
03/24/14 CDC","Yes, if it applies",No,225.7012-3,
252.225-7012,Preference for Certain Domestic Commodities,Apr 2022,OK,If contract exceeds SAT .,,Not required in clause or prescription,"03/19/23 CDC
08/20/22 CDC
01/03/19 CDC
10/18/18 CDC
10/20/13 CDC","Yes, if it applies",No,225.7002-3(a),
OLD,Preference for Certain Domestic Commodities,Dec 2017,OK,If contract exceeds SAT .,,Not required in clause or prescription,"
01/03/19 CDC
10/18/18 CDC
10/20/13 CDC","Yes, if it applies",No,225.7002-3(a),
OLD,Preference for Certain Domestic Commodities,Jun 2010,OK,If contract exceeds SAT .,,Not required in clause or prescription,10/30/09 LDC,"Yes, if it applies",No,225.7002-3(a),
252.225-7013,Duty-Free Entry,Dec 2022,REMOVE,Use in place of 52.225-8,"Per Prescription 25.1101(4), this clause applies only to the acquisition of supplies.  Virginia Tech is executing research, not providing supplies.",Not required in clause or prescription,"03/19/23 CDC
03/24/14 CDC","Yes, if it applies",No,225.1101(4),
OLD,Duty-Free Entry,Oct 2013,REMOVE,Use in place of 52.225-8,"Per Prescription 25.1101(4), this clause applies only to the acquisition of supplies.  Virginia Tech is executing research, not providing supplies.",Not required in clause or prescription,03/24/14 CDC,"Yes, if it applies",No,225.1101(4),
OLD,Duty-Free Entry,Dec 2009,REMOVE,Use in place of 52.225-8,"Per Prescription 25.1101(e), this clause applies only to the acquisition of supplies.  Not applicable to Virginia Tech is doing research, not providing supplies.",,,"Yes, if it applies",No,225.1101(4),
252.225-7014,RESERVED,,REMOVE,,Clause has been deleted and should not be included in  Virginia Tech 's contract,,10/30/09 LDC,"Yes, if it applies",No,,
252.225-7016,Restriction on Acquisition of Ball & Roller Bearings,Jan 2023,C,Required if contract acquiring ball & roller bearings.,Will most likely be self-deleting (i.e. will not acquire ball and roller bearings).,,"03/19/23 CDC
5/5/14 CDC","Yes, if it applies",No,225.7009-5,
OLD,Restriction on Acquisition of Ball & Roller Bearings,Jun 2011,C,Required if contract acquiring ball & roller bearings.,Will most likely be self-deleting (i.e. will not acquire ball and roller bearings).,,5/5/14 CDC,"Yes, if it applies",No,225.7009-5,
252.225-7020,Trade Agreements Certificate.,Nov 2014,C,"Use instead of the clause at FAR 52.225-5, Trade Agreements, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, if the World Trade Organization Government Procurement Agreement applies","Deals with the acquisition of supplies (DFARS 252.1101).  Not applicable to research.  In addition, this is a solicitation provision and it should not be included in the resulting contract.  ",,"03/19/23 CDC
3/29/14 CDC","Yes, if it applies",No,225.1101(5),
252.225-7021,Trade Agreements,Jan 2023,C,"Use instead of the clause at FAR 52.225-5, Trade Agreements, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, if the World Trade Organization Government Procurement Agreement applies",Deals with the acquisition of supplies (DFARS 252.1101).  Not applicable to research.,,"03/19/23 CDC
3/29/14 CDC","Yes, if it applies",No,"225.1101(6)(i),",
OLD,Trade Agreements,Oct 2013,C,"Use instead of the clause at FAR 52.225-5, Trade Agreements, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, if the World Trade Organization Government Procurement Agreement applies",Deals with the acquisition of supplies (DFARS 252.1101).  Not applicable to research.,,3/29/14 CDC,"Yes, if it applies",No,"225.1101(6)(i),",
252.225-7022 ,RESERVED,,,,,,,"Yes, if it applies",,,
252.225-7023,Preference for Products or Services from Afghanistan,Sep 2013,C,"Use the provision at 252.225-7023, Preference for Products or Services from Afghanistan, in solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial products and commercial services, that provide a preference for products or services from Afghanistan in accordance with 225.7703-1(a)(1). The contracting officer may modify the 50 percent evaluation factor in accordance with contracting office procedures.",,,"03/19/23 CDC
3/29/14 CDC",,No,225.7703-4(a),
252.225-7024,Requirement for Products or Services from Afghanistan,Sep 2013,C,"Use the clause at 252.225-7024, Requirement for Products or Services from Afghanistan, in solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial products and commercial services, that include the provision at 252.225-7023, Preference for Products or Services from Afghanistan, and in the resulting contract.",,,"03/19/23 CDC
3/29/14 CDC",,No,225.7703-4(B),
252.225-7025,Restrictions on Acquisitions of Forgings,Dec 2009,C,If contract is for forging items,,,"03/19/23 CDC
10/30/09 LDC",,No,225.7102-4,
252.223-7028,Exclusionary Policies and Practices of Foreign Governments,Apr 2003,REMOVE,"Used in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, that are for the purchase of supplies and services for international military education training and FMS.

 

 ",,,"03/19/23 CDC
06/23/17 CDC",,No,225.7307(b),
252.225-7029,Acquisition of Uniform Components for Afghan Military or Afghan National Police,Sep 2013,,,,,03/19/23 CDC,No,No,225.7703-4(d),
252.225-7030,"Restriction on Acquisition of Carbon, Alloy, and Armor Steel Plate",Dec 2006,C,"If delivery to government of carbon, alloy or armor steel plate to be used in government facility",,,"03/19/23 CDC
10/30/09 LDC",No,No,225.7011-3,
252.225-7031,Secondary Arab Boycott of Israel,Jun 2005,C,"This solicitation provision is to be used in all solicitations, unless an exception, as set forth at DFARS 225.7603 applies.  These exemptions include the following:

a) Contracts for consumable supplies, provisions, or services for the support of United States forces or of allied forces in a foreign country.

c)  Contracts pertaining to the use of any equipment, technology, data, or services for intelligence or classified purposes, or to the acquisition or lease thereof, in the interest of national security.

The certification in Paragraph (b) of the solicitation provision applies only if the offeror is a foreign person.  Since it is not a contract clause, it should not be included within a resulting contract.  It is considered to be self-deleting if it is included, as the university is not a foreign person.  
","Negotiation Position #1:  General. 

It is understood that this is a solicitation provision that includes a certification that applies just to foreign persons, as per its Paragraph (b).  Since Virginia Tech is not a foreign person, it is understood that this solicitation provision is not applicable.  In the interest of clarity, it is respectfully requested for this solicitation provision to be removed from the resulting contract.  Thank you. 

Negotiation Position #2:  Classified Contracts.  

This solicitation provision is prescribed at DFARS 225.7065 to be unless an exception, as set forth at DFARS 225.7603 applies. One of the exceptions include contracts pertaining to the use of any equipment, technology, data, or services for intelligence or classified purposes, or to the acquisition or lease thereof, in the interest of national security.  Since the efforts under this contract will be classified in nature, it is understood that this provision does not apply.  It is respectfully requested for it to be removed for clarity.  Thank you. 
",No,"05/31/21 CDC
03/28/21 CDC
10/20/13 CDC","Yes, if it applies",No,225.7605,
252.225-7036, Buy American—Free Trade Agreements--Balance of Payments Program..,Jan 2023,C,"Use the basic or an alternate of the clause at 252.225-7036, Buy American—Free Trade Agreements—Balance of Payments Program, instead of the clause at FAR 52.225-3, Buy American—Free Trade Agreements–Israeli Trade Act, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial products and commercial services, for the items listed at 225.401-70, when the estimated value is less than $183,000, unless an exception at FAR 25.401 or 225.401 applies.

 ",,,,,No,,
252.225-7036, Buy American—Free Trade Agreements--Balance of Payments Program..,Nov 2014,,,,,,,No,,
252.225-7037,Evaluation of Offers for Air Circuit Breakers.,Dec 2018,REMOVE,"Use the provision at 252.225-7037, Evaluation of Offers for Air Circuit Breakers, in solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial items, that require air circuit breakers for naval vessels.","Virginia Tech will be executing research efforts and will not be delivering air circuit breakers for naval vessels, as per the provision's prescription at DFARS 252.7006-4(a).  Therefore, it is respectfully requested for this provision to be removed.  Also, it should be noted that this is a solicitation provision and it is understood that this would not be included in a resulting contract.  ",,"03/19/23 CDC
12/26/18 CDC",,No,225.7006-4(a),
252.225-7038,Restriction on Acquisition of Air Circuit Breakers.,Dec 2018,REMOVE,"Use this clause, DFARS 252.225-7038, Restriction on Acquisition of Air Circuit Breakers, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, that require air circuit breakers for naval vessels.","Virginia Tech will be executing research efforts and will not be delivering air circuit breakers for naval vessels, as per the clause's prescription at DFARS 252.7006-4(b).  Therefore, it is respectfully requested for this provision to be removed.",,"03/19/23 CDC
12/26/18 CDC",,No,225.7006-4(b),
252.225-7039,Defense Contractors Performing Private Security Functions Outside the United States.,Jan 2023,REMOVE,"Used when private security functions are to be performed outside the United States in—

(1) Contingency operations;

(2) Combat operations, as designated by the Secretary of Defense;

(3) Other significant military operations (as defined in 32 CFR part 159), designated by the Secretary of Defense, and only upon agreement of the Secretary of Defense and the Secretary of State;

(4) Peace operations, consistent with Joint Publication 3-07.3; or

(5) Other military operations or military exercises, when designated by the Combatant Commander.","Virginia Tech will be executing research efforts and will not be Performing Private Security Functions Outside the United States.  Therefore, it is respectfully requested for this provision to be removed.",,"03/19/23 CDC
12/26/18 CDC",No,No,"225.302-6,",
252.225-7040,Contractor Personnel Authorized to Accompany US Armed Forces Deployed Outside the United States,Oct 2015,REMOVE,"When contract requires accompanying US Armed Forces outside the US for 1) contingency operations 2) Humanitarian or peacekeeping operations or 3) Other military operations

This scenario should not apply to Virginia Tech.  
",,,09/01/14 CDC,,No,225.7402-5(a),
252.225-7041,Correspondence in English,Jun 1997,C,When contract performance will be wholly or in part in a foreign country,,,"03/19/23 CDC
10/30/09 LDC",,No,225.1103(2),
252.225-7042,Authorization to perform,Apr 2003,C,When contract performance will be wholly or in part in a foreign country, ,,"03/19/23 CDC
10/30/09 LDC",,No,225.11003(3),
252.225-7043,Antiterrorism/Force Protection for Defense Contractors Outside the United States,Jun 2015,C,"In solicitations and contracts, and contracts using FAR part 12 procedures for the acquisition of commercial items, that require performance or travel outside the United States, except for contracts with —
     (a)  Foreign governments;
      (b)  Representatives of foreign governments; or
      (c)  Foreign corporations wholly owned by foreign governments.",,,"03/19/23 CDC
03/29/14 CDC
",,No,225.7403-2,
252.225-7048,Export Controlled Items,June 2013,OK,"Include in all solicitations and contracts.  This is a very general clause.  Since it is required in all contracts, OESRC does not need to be alerted of its inclusion.  Thank you. ",,Yes.  See paragraph (e) for specific instructions,"03/19/23 CDC
05/31/21 CDC
01/03/19 CDC
10/10/13 CDC",,No,225.7901-4,
252.225-7049,Prohibition on Acquisition of Certain Foreign Commercial Satellite Services —Representations.,Dec 2018,C,"In solicitations for the acquisition of commercial satellite services. If the solicitation includes the provision at FAR 52.204-7, do not separately list the provision 252.225-7049 in the solicitation.  Cuba removed from list in October 2015.

 ",,No,"03/19/23 CDC
01/06/19 CDC
01/31/18 CDC
05/24/15 CDC",No,No,225.772-5,
OLD,Prohibition on Acquisition of Commercial Satellite Services from Certain Foreign Entities—Representations.,January 2018,C,"In solicitations for the acquisition of commercial satellite services. If the solicitation includes the provision at FAR 52.204-7, do not separately list the provision 252.225-7049 in the solicitation.  Cuba removed from list in October 2015.

 ",,No,"01/31/18 CDC
05/24/15 CDC",No,,225.772-5,
252.225-7050 ,Disclosure of Ownership or Control by the Government of a Country that is a State Sponsor of Terrorism.,Dec 2022,C,"Use the provision at 252.225-7050, Disclosure of Ownership or Control by the Government of a Country that is a State Sponsor of Terrorism, in solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial items (other than commercial satellite services), that are expected to result in contracts of $150,000 or more. If the solicitation includes the provision at FAR 52.204-7, do not separately list the provision 252.225-7050 in the solicitation.

Sudan removed from the list Sep 2021.  

 ",,No,"03/19/23 CDC
10/6/21 CDC
01/06/19 CDC
01/31/18 CDC
05/24/15 CDC",No,,225.771-5 ,
OLD,Disclosure of Ownership or Control by the Government of a Country that is a State Sponsor of Terrorism.,Sep 2021,C,"Use the provision at 252.225-7050, Disclosure of Ownership or Control by the Government of a Country that is a State Sponsor of Terrorism, in solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial items (other than commercial satellite services), that are expected to result in contracts of $150,000 or more. If the solicitation includes the provision at FAR 52.204-7, do not separately list the provision 252.225-7050 in the solicitation.

Sudan removed from the list Sep 2021.  

 ",,No,"10/6/21 CDC
01/06/19 CDC
01/31/18 CDC
05/24/15 CDC",No,,225.771-5 ,
OLD,Disclosure of Ownership or Control by the Government of a Country that is a State Sponsor of Terrorism.,Dec 2018,C,"Use the provision at 252.225-7050, Disclosure of Ownership or Control by the Government of a Country that is a State Sponsor of Terrorism, in solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial items (other than commercial satellite services), that are expected to result in contracts of $150,000 or more. If the solicitation includes the provision at FAR 52.204-7, do not separately list the provision 252.225-7050 in the solicitation.

   Cuba removed from list in October 2015.

 ",,No,"01/06/19 CDC
01/31/18 CDC
05/24/15 CDC",No,,225.771-5 ,
OLD,Disclosure of Ownership or Control by the Government of a Country that is a State Sponsor of Terrorism.,January 2018,C,"In contracts that are expected to result in contracts of $150,000 or more. If the solicitation includes the provision at FAR 52.204-7, do not separately list the provision 252.225-7050 in the solicitation.  Cuba removed from list in October 2015.

 ",,No,"01/31/18 CDC
05/24/15 CDC",No,,225.771-5 ,
252.225-7051,Prohibition on Acquisition of Certain Foreign Commercial Satellite Services,Dec 2022,C,"This clause is just to be included in in solicitations and contracts for the acquisition of commercial satellite services, including solicitation and contracts using FAR part 12 procedures for the acquisition of commercial items.","Virginia Tech is a public educational institution executing research efforts.  Therefore, it is understood that it will not be providing commercial satellite services.  Therefore, it is respectfully requested for this clause to be removed for clarity.  Thank you. ",,03/19/23 CDC,,Yes,225.772-5,
OLD,Prohibition on Acquisition of Certain Foreign Commercial Satellite Services,Sep 2021,C,"This clause is just to be included in in solicitations and contracts for the acquisition of commercial satellite services, including solicitation and contracts using FAR part 12 procedures for the acquisition of commercial items.","Virginia Tech is a public educational institution executing research efforts.  Therefore, it is understood that it will not be providing commercial satellite services.  Therefore, it is respectfully requested for this clause to be removed for clarity.  Thank you. ",,,,Yes,225.772-5,
252.225-7052,"Restriction on the Acquisition of Certain Magnets, Tantalum, and Tungsten",Jan 2023,C,"This clause applies in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial products and commercial services, that exceed the simplified acquisition threshold.",,,03/19/23 CDC,,No,"225.7018-5,",
OLD,"Restriction on the Acquisition of Certain Magnets, Tantalum, and Tungsten",Oct 2020,C,"This clause applies in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial products and commercial services, that exceed the simplified acquisition threshold.",,,03/19/23 CDC,,,,
252.225-7053  ,Representation Regarding Prohibition on Use of Certain Energy Sourced from Inside the Russian Federation.,Aug 2021,C,"Used in solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial items and solicitations at or below the simplified acquisition threshold, that are for the acquisition of furnished energy for a covered military installation.

This situation will not arise for the university.  Therefore, it is not applicable. ",,,5/27/22 CDC,,,225.7019-4(a),
252.225-7054,Prohibition on Use of Certain Energy Sourced from Inside the Russian Federation,Jan 2023,C,"Used  in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items and solicitations and contracts at or below the simplified acquisition threshold, that are for the acquisition of furnished energy for a covered military installation.

This situation will not arise for the university.  Therefore, it is not applicable. 

 ",,,"03/19/23 CDC
5/27/22 CDC",,,225.7019-4(a),
OLD,Prohibition on Use of Certain Energy Sourced from Inside the Russian Federation,Aug 2021,C,"Used  in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items and solicitations and contracts at or below the simplified acquisition threshold, that are for the acquisition of furnished energy for a covered military installation.

This situation will not arise for the university.  Therefore, it is not applicable. 

 ",,,5/27/22 CDC,,,225.7019-4(a),
252.225-7055,Representation Regarding Business Operations with the Maduro Regime,May 2022,OK,"Required in solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial items, that include the clause at 252.225-7056, Prohibition Regarding Business Operations with the Maduro Regime.",,,5/27/22 CDC,,No,225.7020-5(a),
252.225-7056,Prohibition Regarding Business Operations with the Maduro Regime,May 2022,C,"Unless the exception at DFARS 225.7020-3(b) applies or a joint determination has been made in accordance with 225.7020-4, use the clause at DFARS 252.225-7056, Prohibition Regarding Business Operations with the Maduro Regime, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items.",,Yes,"03/19/23 CDC
5/27/22 CDC",,No,225.7020-5(b),
OLD,Prohibition Regarding Business Operations with the Maduro Regime,May 2022,C,"Unless the exception at DFARS 225.7020-3(b) applies or a joint determination has been made in accordance with 225.7020-4, use the clause at DFARS 252.225-7056, Prohibition Regarding Business Operations with the Maduro Regime, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items.",,Yes,5/27/22 CDC,,No,225.7020-5(b),
252.225-7057,Preaward Disclosure of Employment of Individuals Who Work in the People's Republic of China ,Aug 2022,Remove,"This provision is prescribed at DFARS 252.7021-4(a) to be included in solicitations with an estimated value in excess of $5 million, unless a waiver is granted.  ","Negotiation Position #1 - Proposed Contract Value Less Than $5 Million.  This clause is prescribed at DFARS 252.7021-4(a) to be included in solicitations with an estimated value in excess of $5 million, unless a waiver is granted. Virginia Tech's contract does not exceed this threshold.  Therefore, it is understood that it does not apply and it is respectfully requested for the clause to be removed for clarity.  Thank you. 

Negotiation Position #2 - Virginia Tech is not a ""Covered Entity.""  This provision is only applicable to a Covered Entity, which is defined in the clause as ""any corporation, company, limited liability company, limited partnership, business trust, business association, or other similar entity, including any subsidiary thereof, performing work on a covered contract in the People’s Republic of China.""  It is understood that Virginia Tech, as a public educational institution, is not a Covered Entity.""  Therefore, it is understood that it does not apply and it is respectfully requested for the clause to be removed for clarity.  Thank you. ",N/A (solicitation provision).,9/7/22 CDC,,Yes (if unable to remove and performance will take place in the People's Republic of China),225.7021-4(a),
252.225-7058,Postaward Disclosure of Employment of Individuals Who Work in The People's Republic of China ,Jan 2023,Remove,"This clause is prescribed at DFARS 252.7021-4(b) to be included in solicitations with an estimated value in excess of $5 million, unless a waiver is granted. ","Negotiation Position #1 - Contract Value Less Than $5 Million.  This clause is prescribed at DFARS 252.7021-4(b) to be included in solicitations with an estimated value in excess of $5 million, unless a waiver is granted. Virginia Tech's contract does not exceed this threshold.  Therefore, it is understood that it does not apply and it is respectfully requested for the clause to be removed for clarity.  Thank you. 

Negotiation Position #2 - Virginia Tech is not a ""Covered Entity.""  This clause is only applicable to a Covered Entity, which is defined in the clause as ""any corporation, company, limited liability company, limited partnership, business trust, business association, or other similar entity, including any subsidiary thereof, performing work on a covered contract in the People’s Republic of China.""  It is understood that Virginia Tech, as a public educational institution, is not a Covered Entity.""  Therefore, it is understood that it does not apply and it is respectfully requested for the clause to be removed for clarity.  Thank you. ",Yes,"03/19/23 CDC
9/7/22 CDC",,Yes (if unable to remove and performance will take place in the People's Republic of China),225.7021-4(b),
OLD,Postaward Disclosure of Employment of Individuals Who Work in The People's Republic of China ,Aug 2022,Remove,"This clause is prescribed at DFARS 252.7021-4(b) to be included in solicitations with an estimated value in excess of $5 million, unless a waiver is granted. ","Negotiation Position #1 - Contract Value Less Than $5 Million.  This clause is prescribed at DFARS 252.7021-4(b) to be included in solicitations with an estimated value in excess of $5 million, unless a waiver is granted. Virginia Tech's contract does not exceed this threshold.  Therefore, it is understood that it does not apply and it is respectfully requested for the clause to be removed for clarity.  Thank you. 

Negotiation Position #2 - Virginia Tech is not a ""Covered Entity.""  This clause is only applicable to a Covered Entity, which is defined in the clause as ""any corporation, company, limited liability company, limited partnership, business trust, business association, or other similar entity, including any subsidiary thereof, performing work on a covered contract in the People’s Republic of China.""  It is understood that Virginia Tech, as a public educational institution, is not a Covered Entity.""  Therefore, it is understood that it does not apply and it is respectfully requested for the clause to be removed for clarity.  Thank you. ",Yes,9/7/22 CDC,,Yes (if unable to remove and performance will take place in the People's Republic of China),225.7021-4(b),
252.225-7060,Prohibition on Certain Procurements from the Xinjiang Uyghur Autonomous Region.,Jan 2023,C,"Used in in solicitations, contracts, and orders for products utilizing funds appropriated or otherwise made available for fiscal year 2022, including solicitations, contracts, and orders using FAR part 12 procedures for the acquisition of commercial products, commercial services, and COTS items.",,,03/19/23 CDC,,,225.7022-5(b),
252.225-7972,Prohibition on the Procurement of Foreign-Made Unmanned Aircraft Systems. (DEVIATION 2020-O0015),DEVIATION 2020-O0015),C,"Used in contracts, including contracts using FAR part 12 procedures for the acquisition of commercial items, unless— 

(a) The acquisition is for— 
(1) Counter-unmanned aircraft system surrogate testing and training; or 
(2) Intelligence, electronic warfare, and information warfare operations, testing*, analysis, and training; or 

(b) A waiver has been granted by the Secretary of Defense in accordance with section 848 of the National Defense Authorization Act for Fiscal Year 2020 (Pub. L. 116-92).
",Please see Christy if this clause is included in your agreement.  Thank you. ,,7/24/20 CDC,Yes,,,
252.225-7973,Prohibition on the Procurement of Foreign-Made Unmanned Aircraft Systems—Representation.  (DEVIATION 2020-O0015),DEVIATION 2020-O0015),C,"Used in solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial items, unless— 

(a) The acquisition is for— 
(1) Counter-unmanned aircraft system surrogate testing and training; or 
(2) Intelligence, electronic warfare, and information warfare operations, testing*, analysis, and training; or 

(b) A waiver has been granted by the Secretary of Defense in accordance with section 848 of the National Defense Authorization Act for Fiscal Year 2020 (Pub. L. 116-92).
",Please see Christy if you are conducting an RFP review and this provision is included in the solicitation.  ,,7/24/20 CDC,Yes,,,
252.226-7001,"Utilization of Indian Organizations, Indian-Owned Economic Enterprises, and Native Hawaiian Small Business Concerns",Jan 2023,C,"If contract:
 - exceeds $500,000 and
 - is for supplies or services",,,"03/19/23 CDC
06/12/20 CDC
10/30/09 LDC",,,226.104,
OLD,"Utilization of Indian Organizations, Indian-Owned Economic Enterprises, and Native Hawaiian Small Business Concerns",Apr 2019,C,"If contract:
 - exceeds $500,000 and
 - is for supplies or services",,,"06/12/20 CDC
10/30/09 LDC",,,226.104,
OLD,"Utilization of Indian Organizations, Indian-Owned Economic Enterprises, and Native Hawaiian Small Business Concerns",SEP 2004,C,"If contract:
 - exceeds $500,000 and
 - is for supplies or services",,,10/30/09 LDC,,,226.104,
252.227-7000,Non-Estoppel,Oct 1966,REMOVE,"For patent release agreements, license agreements and assignments","This is a research contract, not a patent release agreements, license agreements and assignments",n/a,03/10/10 LDC,n/a,,"227.7009-1,
227.7009",
252.227-7003,Termination,Aug 1984,REMOVE,,Does not apply to this contract.  Clause is only for licensing agreements,n/a,01/13/10 LDC,n/a,,227.7009-2(c) ,
252.227-7013,Rights in Technical Data- Noncommercial Items,Jan 2023,C,"For contracts in which technical data will be delivered to the Gov't. 
 - Not for contracts when the only deliverable will be:
1) computer software or computer software documentation,
2) commercial items developed exclusively at private expense, 
3) existing works,
4) special works, or
5) contracted under SBIR.

Alt I (June 1995) - Acceptable.  Specifically for research contracts.  Contracting Officer makes determination to limit Government's right to publish data to allow for dissemination of information by Virginia Tech.

Alt II - Applicable only to contracts involving development or delivery of a vessel design or any useful article embodying a vessel design.

Work with PI to identify any limited rights technical data - see table in 252.227-7013(e)(3)",,Yes.  See paragraph (k) for specific instructions,"03/19/23 CDC
06/12/20 CDC
03/29/14 CDC
10/11/13 CDC",yes,,227.7013-6(a),
OLD,Rights in Technical Data- Noncommercial Items,Feb 2014,C,"For contracts in which technical data will be delivered to the Gov't. 
 - Not for contracts when the only deliverable will be:
1) computer software or computer software documentation,
2) commercial items developed exclusively at private expense, 
3) existing works,
4) special works, or
5) contracted under SBIR.

Alt I (June 1995) - Acceptable.  Specifically for research contracts.  Contracting Officer makes determination to limit Government's right to publish data to allow for dissemination of information by Virginia Tech.

Alt II - Applicable only to contracts involving development or delivery of a vessel design or any useful article embodying a vessel design.

Work with PI to identify any limited rights technical data - see table in 252.227-7013(e)(3)",,Yes.  See paragraph (k) for specific instructions,"06/12/20 CDC
03/29/14 CDC
10/11/13 CDC",yes,,227.7013-6(a),
OLD,Rights in Technical Data- Noncommercial Items,Nov 1995,C,"
",,Yes.  See paragraph (k) for specific instructions,10/20/10 LDC,yes,,227.7013-6(a),
252.227-7014,Rights in Noncommercial Computer Software and Noncommercial Computer Software Documentation ,Jan 2023,C,"Use in contracts where computer software or documentation will be delivered to the Gov't.

USE ALT I when delivering software that PI wants to commercialize.  Adds (l) Publication for sale.  CO must obtain approval from legal counsel.    

Work with PI to identify any restricted rights computer software - see table in 252.227-7014(e)(3); if used, include 252.227-7019","Per prescription 227-7203-6 (a)(2), Alt I is to be used in research contracts if CO, in consultation with legal counsel, approves.",,"03/19/23 CDC
06/12/20 CDC
01/09/14 CDC",,,227.7203-6(a)(2),
