Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or Additional Notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Minimum Wages Under Executive Order 13658 ,Dec 2015,REMOVE,"Insert the clause at 52.222-55, Minimum Wages Under Executive Order 13658, in solicitations and contracts that include the clause at 52.222-6, Construction Wage Rate Requirements, or 52.222-41, Service Contract Labor Standards, where work is to be performed, in whole or in part, in the United States (the 50 States and the District of Columbia).","Virginia Tech does not execute construction and is exempt from FAR 52.222-6.  As documented previously, Virginia Tech is exempt from the Service Contract Labor Standards (FAR 52.222-41) due to the ""Learned Professionals"" exemption.  Not applicable.  Please remove. ",,12/28/2015 CDC,n/a,No,22.1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Minimum Wages Under Executive Order 13658 ,Dec 2014,REMOVE,"Insert the clause at 52.222-55, Minimum Wages Under Executive Order 13658, in solicitations and contracts that include the clause at 52.222-6, Construction Wage Rate Requirements, or 52.222-41, Service Contract Labor Standards, where work is to be performed, in whole or in part, in the United States (the 50 States and the District of Columbia).","Virginia Tech does not execute construction and is exempt from FAR 52.222-6.  As documented previously, Virginia Tech is exempt from the Service Contract Labor Standards (FAR 52.222-41) due to the ""Learned Professionals"" exemption.  Not applicable.  Please remove. ",,04/05/2015 CDC,n/a,No,22.1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.222-56,Certification Regarding Trafficking in Persons Compliance Plan,Oct 2020,C,"Solicitation provision in solicitations if 

(1) It is possible that at least $500,000 of the value of the contract may be performed outside the United States; and 

(2) The acquisition is not entirely for commercially available off-the-shelf items.
",,Not required in clause or prescription,"03/11/23 CDC
04/05/2015 CDC",Yes,No,22.1705(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Certification Regarding Trafficking in Persons Compliance Plan,Mar 2015,C,"Solicitation provision in solicitations if 

(1) It is possible that at least $500,000 of the value of the contract may be performed outside the United States; and 

(2) The acquisition is not entirely for commercially available off-the-shelf items.
",,Not required in clause or prescription,04/05/2015 CDC,Yes,No,22.1705(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.222-57,RESERVED,,,"This clause was reserved as of 11/6/17, when Executive Order 13673 was rescinded.  From 11/6/17 forward, you should request for the removal of this clause from your contracts.",,,11/05/17 CDC,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Representation Regarding Compliance with Labor Laws (Executive Order 13673),Dec 2016,C,"This is a solicitation provision, so it really should not be in a contract.  It is included in solicitations that contain the clause at 52.222-59. 

By a court order issued on October 24, 2016, this paragraph is enjoined indefinitely as of the date of the order. The enjoined paragraph will become effective immediately if the court terminates the injunction. At that time, GSA, DoD and NASA will publish a document in the Federal Register advising the public of the termination of the injunction. 
",,,01/18/2017 CDC,,No,22.2007(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.222-58,RESERVED,,,"This clause was reserved as of 11/6/17, when Executive Order 13673 was rescinded.  From 11/6/17 forward, you should request for the removal of this clause from your contracts.",,,11/05/17 CDC,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Subcontractor Responsibility Matters Regarding Compliance with Labor Laws (Executive Order 13673),Dec 2016,C,"This is a solicitation provision, so it really should not be in a contract.  It is included in solicitations that contain the clause at 52.222-59. 

By a court order issued on October 24, 2016, this paragraph is enjoined indefinitely as of the date of the order. The enjoined paragraph will become effective immediately if the court terminates the injunction. At that time, GSA, DoD and NASA will publish a document in the Federal Register advising the public of the termination of the injunction. 
",,,01/18/2017 CDC,,No,22.2007(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.222-59,RESERVED,,,"This clause was reserved as of 11/6/17, when Executive Order 13673 was rescinded.  From 11/6/17 forward, you should request for the removal of this clause from your contracts.",,,11/05/17 CDC,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,"52.222-59, Compliance with Labor Laws (Executive Order 13673)",Dec 2016,C,"Used in contracts as follows:

(1) In solicitations with an estimated value of $50 million or more, issued from October 25, 2016 through April 24, 2017, and resultant contracts; and

(2) In solicitations that are estimated to exceed $500,000 issued after April 24, 2017 and resultant contracts.

By a court order issued on October 24, 2016, this paragraph is enjoined indefinitely as of the date of the order. The enjoined paragraph will become effective immediately if the court terminates the injunction. At that time, GSA, DoD and NASA will publish a document in the Federal Register advising the public of the termination of the injunction. ",,"Subcontractor flowdown. If the Government’s solicitation included the provision at 52.222-58, the Contractor shall include the substance of paragraphs (a), (c), (d), (e), (f) and (g) of this clause, in subcontracts with an estimated value exceeding $500,000, at all tiers, for other than commercially available off-the-shelf items. ",01/18/2017 CDC,,No,22.2007(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.222-60,RESERVED,,,"This clause was reserved as of 11/6/17, to reflect the recision of Executive Order 13673 was rescinded.  From 11/6/17 forward, you should request for the removal of this clause from your contracts.",,,11/05/17 CDC,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.222-60,RESERVED,Oct 2016,C,"The contracting officer shall, beginning on January 1, 2017 insert the clause at 52.222-60, Paycheck Transparency (Executive Order 13673), in solicitations if the estimated value exceeds $500,000 and resultant contracts. ",Received documentation from Leisa Shelor from Controller's Office (Payroll) on 1/18/2017 documenting information included on pay stubs.  Reviewed with S. Capaldo from University Legal Counsel to receive concurrence to proceed with acceptance of clause.  ," The Contractor shall insert the substance of this clause, including this paragraph (f), in all subcontracts that exceed $500,000, at all tiers, for other than commercially available off-the-shelf items. ",01/18/2017 CDC,,No,22.2007(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.222-61,RESERVED,,,"This clause was reserved as of 11/6/17, when Executive Order 13673 was rescinded.  From 11/6/17 forward, you should request for the removal of this clause from your contracts.",,,11/05/17 CDC,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Arbitration of Contractor Employee Claims (Executive Order 13673).,Dec 2016,C,"Used in solicitations if the estimated value exceeds $1,000,000, other than those for commercial items, and resultant contracts.",,,01/18/2017 CDC,,No,22.2007(e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.222-62,Paid Sick Leave Under Executive Order 13706,Jan 2022,REMOVE,"Used in solicitations and contracts that include the clause at 52.222-6, Construction Wage Rate Requirements, or 52.222-41, Service Contract Labor Standards, where work is to be performed, in whole or in part, in the United States (the 50 States and the District of Columbia). ","52.222-62, Paid Sick Leave Under Executive Order 13706.  This clause is prescribed at FAR 22.2110 in solicitations and contracts that include the clause at 52.222-6, Construction Wage Rate Requirements, or 52.222-41, Service Contract Labor Standards, where work is to be performed, in whole or in part, in the United States (the 50 States and the District of Columbia).

It is understood that Virginia Tech is not executing construction, therefore, FAR 52.222-6, Construction Wage Rate Requirements would not apply.

It is understood that FAR 52.222-41, Service Contract Labor Standards (May 2014), would not apply.  The research efforts that are provided are considered to be ""Professional Services"" as defined within 29 CFR Part 541, Defining and Delimiting the Exemptions for Executive, Administrative, Professional, Computer and Outside Sales Employees, Subpart D, Professional Employees.  29 CFR 541.301, Learned Professionals, provides the exemption to the Service Contract Labor Standards.  

Therefore, it is respectfully requested for this clause to be removed.  Thank you so much.  ",,"02/26/23 CDC
11/05/17 CDC",,No,22.2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Paid Sick Leave Under Executive Order 13706,Jan 2017,REMOVE,"Used in solicitations and contracts that include the clause at 52.222-6, Construction Wage Rate Requirements, or 52.222-41, Service Contract Labor Standards, where work is to be performed, in whole or in part, in the United States (the 50 States and the District of Columbia). ","52.222-62, Paid Sick Leave Under Executive Order 13706.  This clause is prescribed at FAR 22.2110 in solicitations and contracts that include the clause at 52.222-6, Construction Wage Rate Requirements, or 52.222-41, Service Contract Labor Standards, where work is to be performed, in whole or in part, in the United States (the 50 States and the District of Columbia).

It is understood that Virginia Tech is not executing construction, therefore, FAR 52.222-6, Construction Wage Rate Requirements would not apply.

It is understood that FAR 52.222-41, Service Contract Labor Standards (May 2014), would not apply.  The research efforts that are provided are considered to be ""Professional Services"" as defined within 29 CFR Part 541, Defining and Delimiting the Exemptions for Executive, Administrative, Professional, Computer and Outside Sales Employees, Subpart D, Professional Employees.  29 CFR 541.301, Learned Professionals, provides the exemption to the Service Contract Labor Standards.  

Therefore, it is respectfully requested for this clause to be removed.  Thank you so much.  ",,11/05/17 CDC,,No,22.2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.222-99,Notification of Employee Rights under the National Labor Relations Act,,C,"If contract is over SAT
temp link to info",,"If subcontract is over $10,000",12/2/10 LDC,no,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-1,Biobased Product Certification,May 2012,,If contract requires delivery or use of USDA-designated items or includes 52.223-2,,Not required in clause or prescription,"03/11/23 CDC
12/29/10 LDC",yes,No,23.406(a) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Biobased Product Certification,Dec 2007,C,If contract requires delivery or use of USDA-designated items or includes 52.223-2,,Not required in clause or prescription,12/29/10 LDC,yes,No,23.406(a) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-2,Affirmative Procurement of Biobased Products Under Service and Construction Contracts,Sep 2013,C,Required in contracts unless it will not involve the use of USDA-designated items at http://www.usda.gov/viopreferred,,Not required in clause or prescription,"03/11/23 CDC
04/05/15 CDC
11/11/10  LDC",Yes,No,23.406(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-3,Hazardous Material Identification and Material Safety Data,Feb 2021,C,"Required in contracts requiring the delivery of hazardous materials in Federal Standard No. 313. 

If required, must use Alt I (July 1995) if issued by agency other than DoD","No Hazardous Materials will be delivered under this contract.  According to paragraph (a) of the prescription, the clause is not required in this contract
              or         
Prescription 23.303(b) requires non-DoD agencies to use this clause with its Alternate I",Not required in clause or prescription,"03/11/23 CDC
01/18/21 CDC
11/2/09 LDC",Yes,No,23.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Hazardous Material Identification and Material Safety Data,Jan 1997,C,"Required in contracts requiring the delivery of hazardous materials in Federal Standard No. 313. 

If required, must use Alt I (July 1995) if issued by agency other than DoD","No Hazardous Materials will be delivered under this contract.  According to paragraph (a) of the prescription, the clause is not required in this contract
              or         
Prescription 23.303(b) requires non-DoD agencies to use this clause with its Alternate I",Not required in clause or prescription,"03/11/23 CDC
01/18/21 CDC
11/2/09 LDC",Yes,No,23.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-4,Recovered Material Certification,May 2008,C,in contracts that require the delivery or use of EPA-designated items or include 52.223-17,,Not required in clause or prescription,"03/11/23 CDC
12/29/10 LDC",yes,No,23.406(c) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-5,Pollution Prevention and Right-to-Know Information,May 2011,C,"if performance of contract will be in whole or in part on a Federal facility.
Use Alt I if Contractor will provide O&M services or activities and operations take place at a Government-operated federal facility that has or will implement EMS.
Use Alt II if federal facility includes contractor in FCA or EMS audit.",,Not required in clause or prescription,"03/24/14 CDC

12/29/10 LDC",yes,No,23.1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-6,Drug-Free Workplace,May 2001,C,"If contract exceeds SAT.  
Does not apply if contract performed all or in part outside US or if commercial items. (FAR 23.501)",,Not required in clause or prescription,"03/11/23 CDC
10/19/13 CDC",no,No,23.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-7,Notice of Radioactive Materials,Jan 1997,REMOVE,In contracts for supplies which contain radioactive materials.,This is only required for supply contracts. Virginia Tech is executing research efforts. ,"Yes, for all subcontracts for radioactive materials meeting criteria in paragraph (a)",12/29/10 LDC,n/a,No,23.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-9,Estimate of Percentage of Recovered Material Content for EPA-Designated Items,May 2008,C,"in contracts over $150,000 that are for or use EPA-designated items containing recovered materials",CO must fill in blank,Not required in clause or prescription,"03/11/23 CDC
12/29/10 LDC",Yes,No,23.406(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-10,Waste Reduction Program,May 2011,C,In all solicitations and contracts for contractor operation of Government-owned or -leased facilities and all solicitations and contracts for support services at Government-owned or -operated facilities., ,Not required in clause or prescription,"03/11/23 CDC
03/29/14 CDC
12/29/10 LDC",no,No,23.705(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-11,Ozone-Depleting Substances and High Global Warming Potential Hydrofluorocarbons,Jun 2016,REMOVE,,"Per prescription, this is only for contracts for ozone-depleting substances or for supplies that may contain ozone-depleting substances.  ",Not required in clause or prescription,"03/11/23 CDC
10/30/09 LDC",n/a,No,23.804(a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-12,"Maintenance, Service, Repair, or Disposal of Refrigeration Equipment and Air Conditioners.",Jun 2016,C,"contracts that include the maintenance, service, repair, or disposal of–

                (i) Refrigeration equipment, such as refrigerators, chillers, or freezers; or

                (ii) Air conditioners, including air conditioning systems in motor vehicles.",,Not required in clause or prescription,"03/11/23 CDC
10/30/09 LDC",no,No,23.804(a)(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Refrigeration Equipment and Air Conditioners,May 1995,C,"Service contracts when the contract includes the maintenance, repair, or disposal of any equipment or appliance using ozone-depleting substances as a refrigerant",,Not required in clause or prescription,10/30/09 LDC,no,No,23.804(a)(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-13,Acquisition of EPEAT®-Registered Imaging Equipment,Jun 2014,C,"Contractor shall deliver, furnish for Government use, or furnish for Contractor use at a Federally controlled facility, only personal imaging equipment that, at the time of submission of proposals and at the time of award, were EPEAT® bronze-registered or higher.

Includes scanners, copiers, fax machines, printers, multifunction devices, mailing machine.","Does not apply to Virginia Tech's statement of work.  

Suggest reviewing the budget to see if any ""imaging equipment"" will be procured that will ultimately be the property of the USG.  

For more information on EPEAT, please visit http://www.epa.gov/epeat/
",Not required in clause or prescription,"03/11/23 CDC
12/2/14 CDC",Yes.  Required to meet energy standards,No,23.705(b)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-14,Acquisition of EPEAT®-Registered Televisions,Jun 2014,C,"Contractor shall deliver, furnish for Government use, or furnish for Contractor use at a Federally controlled facility, only personal televisions that, at the time of submission of proposals and at the time of award, were EPEAT® bronze-registered or higher.
","Does not apply to Virginia Tech's statement of work. 

Suggest reviewing the budget to see if any ""televisions"" will be procured that will ultimately be the property of the USG.  

For more information on EPEAT, please visit http://www.epa.gov/epeat/
",Not required in clause or prescription,"03/11/23 CDC
12/2/14 CDC",Yes.  Required to meet energy standards,No,23.705(c)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Toxic Chemical Release Reporting,Aug 2003,C,"In competitively awarded contracts exceeding $100,000",,"Yes, for subs over $100,000.  specific instructions in paragraph (e) ",10/20/10 LDC,no,No,23.906(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-15,Energy Efficiency in Energy-Consuming Products,May 2020,C,"If energy-consuming products (see prescription for definition) will be: 
  (1) Delivered;

   (2) Acquired by the Contractor for use in performing services at a Federally-controlled facility;

   (3) Furnished by the Contractor for use by the Government; or

   (4) Specified in the design of a building or work, or incorporated during its construction, renovation, or maintenance","This clause should not apply to Virginia Tech, as it would be more applicabe to a supply-type contract. ",Not required in clause or prescription,"03/11/23 CDC
03/24/14 CDC
12/29/10 LDC",yes,No,23.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-16, Acquisition of EPEAT®-Registered Personal Computer Products.,Oct 2015,C,"Contractor shall deliver, furnish for Government use, or furnish for Contractor use at a Federally controlled facility, only personal computer products that, at the time of submission of proposals and at the time of award, were EPEAT® bronze-registered or higher.

Includes computer, computer display, desktop computer, integrated desktop computer, or notebook computer.","Does not apply to Virginia Tech's statement of work. 

Suggest reviewing the budget to see if any ""personal computer products"" will be procured that will ultimately be the property of the USG.  

For more information on EPEAT, please visit http://www.epa.gov/epeat/

",Not required in clause or prescription,"03/11/23 CDC
09/01/2014 CDC",Yes.  Required to meet energy standards,No,23.705(d)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,IEEE 1680 Standard for the Environmental Assessment of Personal Computer Products,Dec 2007,C,"If contract involves:
(i) Personal computer products;
(ii) Services that require furnishing of personal computer products for use by the Government; or
(iii) Contractor operation of Government-owned facilities. ",Does not apply to Virginia Tech's statement of work. ,Not required in clause or prescription,"03/24/14 CDC
01/13/10 LDC",yes.  Required to meet energy standards,No,23.706(b)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-17,Affirmative Procurement of EPA-Designated Items in Service and Construction Contracts,Aug 2018,C,Required in contracts unless it will not involve the use of EPA-designated items,"It is requested for this clause to be removed, as Virginia Tech is not executing a services or a construction contract.",Not required in clause or prescription,"03/11/23 CDC
08/25/18 CDC
11/11/10 LDC",Yes,No,23.406(e) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Affirmative Procurement of EPA-Designated Items in Service and Construction Contracts,May 2008,C,Required in contracts unless it will not involve the use of EPA-designated items,,Not required in clause or prescription,11/11/10 LDC,Yes,No,23.406(e) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-18,Encouraging Contractor Policies to Ban Text Messaging While Driving,Jun 2020,OK,"Required in all contracts.
VA law constitutes policy and therefore Virginia Tech complies.",,in all subs over the micropurchase threshold,"03/11/23 CDC
06/12/20 CDC
01/03/19 CDC
03/24/14 CDC
12/29/10 LDC",no,No,23.1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Encouraging Contractor Policies to Ban Text Messaging While Driving,Aug 2011,OK,"Required in all contracts.
VA law constitutes policy and therefore Virginia Tech complies.",,in all subs over the micropurchase threshold,"01/03/19 CDC
03/24/14 CDC
12/29/10 LDC",no,No,23.1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-19,Compliance with Environmental Management Systems,May 2011,REMOVE,"Used in all solicitations and contracts for contractor operation of Government-owned or -leased facilities or vehicles, located in the United States. For facilities located outside the United States, the agency head may determine that use of the clause is in the best interest of the Government.","Virginia Tech will not operate Government-owned or -leased facilities or vehicles, located in the United States.",,"03/11/23 CDC
4/5/15 CDC",,No,23.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-20,Aerosols,Jun 2016,REMOVE,"In solicitations and contracts–

(i) For products that may contain high global warming potential hydrofluorocarbons as a propellant, or as a solvent; or

(ii) That involve maintenance or repair of electronic or mechanical devices.","Virginia Tech will not be making products that may contain high global warming potential hydrofluorocarbons as a propellant, or as a solvent",N/A,"03/11/23 CDC
02/12/17 CDC",No,No,23.804(a)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-21,Foams,Jun 2016,REMOVE," (i) Products that may contain high global warming potential hydrofluorocarbons or refrigerant blends containing hydrofluorocarbons as a foam blowing agent, such as building foam insulation or appliance foam insulation; or

(ii) Construction of buildings or facilities.","Virginia Tech will not be making products that may contain high global warming potential hydrofluorocarbons or refrigerant blends containing hydrofluorocarbons as a foam blowing agent, such as building foam insulation or appliance foam insulation; ",N/A,"03/11/23 CDC
02/12/17 CDC",No,No,23.804(a)(4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.223-22,Public Disclosure of Greenhouse Gas Emissions and Reduction Goals-Representation,Dec 2016,REMOVE,Solicitation provision.  Should not be included in a contract. ,,,"03/11/23 CDC
02/12/17 CDC",,No,23.804(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Public Disclosure of Greenhouse Gas Emissions and Reduction Goals-Representation,Jun 2016,REMOVE,Solicitation provision.  Should not be included in a contract. ,,,"03/11/23 CDC
02/12/17 CDC",,No,23.804(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
